"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Employment size of establishments code (EMPSZFE_LABEL)","Year (YEAR)","Number of establishments (ESTAB)"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","8"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","10"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","5"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Nassau County, New York","31-33","Manufacturing","All establishments","2017","949"
"Nassau County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","944"
"Nassau County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","541"
"Nassau County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","133"
"Nassau County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","105"
"Nassau County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","97"
"Nassau County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","34"
"Nassau County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","25"
"Nassau County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","9"
"Nassau County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","5"
"New York County, New York","31-33","Manufacturing","All establishments","2017","1,721"
"New York County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","1,711"
"New York County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","1,064"
"New York County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","248"
"New York County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","190"
"New York County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","145"
"New York County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","47"
"New York County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","13"
"New York County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","4"
"New York County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","10"
"Niagara County, New York","31-33","Manufacturing","All establishments","2017","273"
"Niagara County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","268"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","110"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","37"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","29"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","44"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","28"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","19"
"Niagara County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","5"
"Oneida County, New York","31-33","Manufacturing","All establishments","2017","229"
"Oneida County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","226"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","92"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","27"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","34"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","28"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","23"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","13"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","9"
"Oneida County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","3"
"Onondaga County, New York","31-33","Manufacturing","All establishments","2017","417"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","416"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","184"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","41"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","50"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","74"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","27"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","26"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","14"
"Ontario County, New York","31-33","Manufacturing","All establishments","2017","168"
"Ontario County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","167"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","60"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","20"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","19"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","33"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","21"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","9"
